Unnamed: 0,operation,property_type_apartment,property_type_house,property_type_store,price,currency_ARS,currency_MXN,currency_USD,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses
1,sell,True,False,False,5500000.0,False,True,False,5450245.5,289775.66,424.9886482103556,54.0,1784.8873124713452,101851.8519,4.566949706074461,2.7085346215781,2000.5714285714287
2,sell,False,True,False,1512000.0,False,True,False,1498321.97,79661.96,424.9886482103556,80.0,1784.8873124713452,18900.0,4.566949706074461,2.7085346215781,2000.5714285714287
3,sell,True,False,False,926667.0,False,True,False,918284.0,48822.82,424.9886482103556,100.0,1784.8873124713452,9266.67,4.566949706074461,2.7085346215781,2000.5714285714287
4,sell,True,False,False,6410000.0,False,True,False,6352013.39,337720.36,424.9886482103556,135.0,1784.8873124713452,47481.48148,4.566949706074461,2.7085346215781,2000.5714285714287
5,sell,True,False,False,875000.0,False,False,True,16457437.5,875000.0,0.0,263.0,1784.8873124713452,3326.996198,4.566949706074461,2.7085346215781,2000.5714285714287
6,sell,True,False,False,4416000.0,False,True,False,4376051.62,232663.51,424.9886482103556,87.0,1784.8873124713452,50758.62069,4.566949706074461,2.7085346215781,2000.5714285714287
7,sell,True,False,False,3150000.0,False,True,False,3122244.47,166001.78,424.9886482103556,100.0,1784.8873124713452,31500.0,4.566949706074461,2.7085346215781,2000.5714285714287
8,sell,False,True,False,2086666.0,False,True,False,2067789.37,109939.09,424.9886482103556,205.0,1784.8873124713452,10178.85854,4.566949706074461,2.7085346215781,2000.5714285714287
9,sell,False,True,False,1600000.0,False,True,False,1585525.89,84298.37,424.9886482103556,144.0,1784.8873124713452,11111.11111,4.566949706074461,2.7085346215781,2000.5714285714287
10,sell,False,True,False,6500000.0,False,True,False,6441199.16,342462.14,424.9886482103556,350.0,1784.8873124713452,18571.42857,4.566949706074461,2.7085346215781,2000.5714285714287
11,sell,False,True,False,4398100.0,False,True,False,4359347.04,231775.37,424.9886482103556,304.0,1784.8873124713452,14467.43421,4.566949706074461,2.7085346215781,2000.5714285714287
12,sell,True,False,False,1784569.0,False,True,False,1768425.2,94022.66,424.9886482103556,57.0,1784.8873124713452,31308.22807,4.566949706074461,2.7085346215781,2000.5714285714287
13,sell,True,False,False,300000.0,False,False,True,5642550.0,300000.0,1500.0,160.0,200.0,1875.0,4.566949706074461,2.7085346215781,2000.5714285714287
14,sell,True,False,False,3272300.0,False,True,False,3243466.76,172446.86,0.0,83.0,1784.8873124713452,39425.3012,4.566949706074461,2.7085346215781,2000.5714285714287
15,sell,True,False,False,1260000.0,False,True,False,1248601.52,66384.96,424.9886482103556,103.0,1784.8873124713452,12233.00971,4.566949706074461,2.7085346215781,2000.5714285714287
